subor,nastroj,cas_vykonania,pocet_chyb,vystup
./console.py,flake8,2025-03-13T14:04:29.241787,0,
./console.py,mypy,2025-03-13T14:04:29.437337,1,Success: no issues found in 1 source file
./converter.py,pylint,2025-03-13T14:04:30.002255,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./converter.py,pyflakes,2025-03-13T14:04:32.120331,0,
./converter.py,flake8,2025-03-13T14:04:32.230066,0,
./converter.py,mypy,2025-03-13T14:04:32.445385,1,Success: no issues found in 1 source file
./db.py,pylint,2025-03-13T14:04:32.999535,7,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.db
db.py:181:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)

------------------------------------------------------------------
Your code has been rated at 9.49/10 (previous run: 9.49/10, +0.00)"
./db.py,pyflakes,2025-03-13T14:04:34.154175,0,
./db.py,flake8,2025-03-13T14:04:34.260859,0,
./db.py,mypy,2025-03-13T14:04:34.468901,8,"db.py:165: error: Cannot override writable attribute ""structure"" with a final one  [misc]
db.py:174: error: Cannot override writable attribute ""structure"" with a final one  [misc]
db.py:181: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
db.py:181: note: Possible overload variants:
db.py:181: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
db.py:181: note:     def [_T] dataclass(type[_T], /) -> type[_T]
db.py:181: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
Found 3 errors in 1 file (checked 1 source file)"
./exceptions.py,pylint,2025-03-13T14:04:35.002897,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./exceptions.py,pyflakes,2025-03-13T14:04:35.562923,0,
./exceptions.py,flake8,2025-03-13T14:04:35.658026,0,
./exceptions.py,mypy,2025-03-13T14:04:35.845861,1,Success: no issues found in 1 source file
./filepath_utils.py,pylint,2025-03-13T14:04:36.394104,7,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.filepath_utils
filepath_utils.py:3:0: E0401: Unable to import 'pathvalidate' (import-error)

------------------------------------------------------------------
Your code has been rated at 7.06/10 (previous run: 7.06/10, +0.00)"
./filepath_utils.py,pyflakes,2025-03-13T14:04:36.967544,0,
./filepath_utils.py,flake8,2025-03-13T14:04:37.065365,1,./filepath_utils.py:13:1: W293 blank line contains whitespace
./filepath_utils.py,mypy,2025-03-13T14:04:37.267560,1,Success: no issues found in 1 source file
./progress.py,pylint,2025-03-13T14:04:37.448932,12,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.progress
progress.py:4:0: E0401: Unable to import 'rich.console' (import-error)
progress.py:5:0: E0401: Unable to import 'rich.live' (import-error)
progress.py:6:0: E0401: Unable to import 'rich.progress' (import-error)
progress.py:13:0: E0401: Unable to import 'rich.rule' (import-error)
progress.py:14:0: E0401: Unable to import 'rich.text' (import-error)
progress.py:78:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)

------------------------------------------------------------------
Your code has been rated at 5.52/10 (previous run: 5.52/10, +0.00)"
./progress.py,pyflakes,2025-03-13T14:04:38.454435,0,
./progress.py,flake8,2025-03-13T14:04:38.580064,0,
./progress.py,mypy,2025-03-13T14:04:38.808131,6,"progress.py:78: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
progress.py:78: note: Possible overload variants:
progress.py:78: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
progress.py:78: note:     def [_T] dataclass(type[_T], /) -> type[_T]
progress.py:78: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
Found 1 error in 1 file (checked 1 source file)"
./test.py,pylint,2025-03-13T14:04:39.366511,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./test.py,pyflakes,2025-03-13T14:04:40.620277,0,
./test.py,flake8,2025-03-13T14:04:40.728192,7,"./test.py:16:1: E302 expected 2 blank lines, found 1
./test.py:25:1: E302 expected 2 blank lines, found 1
./test.py:37:1: E302 expected 2 blank lines, found 1
./test.py:39:1: W293 blank line contains whitespace
./test.py:43:1: W293 blank line contains whitespace
./test.py:51:1: E305 expected 2 blank lines after class or function definition, found 1
./test.py:52:11: W292 no newline at end of file"
./test.py,mypy,2025-03-13T14:04:40.935869,1,Success: no issues found in 1 source file
./client/__init__.py,pylint,2025-03-13T14:04:41.512365,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./client/__init__.py,pyflakes,2025-03-13T14:04:42.831411,0,
